city,country,venue,capacity,matches_hosted,date,date_type,url,prices_found,median_price,error
Vancouver,Canada,BC Place,54500,6,2026-06-14,match,"https://www.booking.com/searchresults.html?ss=Vancouver, British Columbia&checkin=2026-06-14&checkout=2026-06-15&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price","[131.0, 131.0, 147.0, 147.0, 194.0, 194.0, 197.0, 197.0, 206.0, 206.0, 207.0, 207.0, 239.0, 239.0, 241.0, 241.0, 254.0, 254.0, 263.0, 263.0, 264.0, 264.0, 267.0, 267.0, 268.0]",239.0,
Vancouver,Canada,BC Place,54500,6,2026-04-19,baseline,"https://www.booking.com/searchresults.html?ss=Vancouver, British Columbia&checkin=2026-04-19&checkout=2026-04-20&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price",[],,
Vancouver,Canada,BC Place,54500,6,2026-06-20,match,"https://www.booking.com/searchresults.html?ss=Vancouver, British Columbia&checkin=2026-06-20&checkout=2026-06-21&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price","[182.0, 182.0, 207.0, 207.0, 215.0, 215.0, 234.0, 234.0, 236.0, 236.0, 277.0, 277.0, 288.0, 288.0, 296.0, 296.0, 328.0, 328.0, 329.0, 329.0, 342.0, 342.0, 368.0, 368.0, 375.0]",288.0,
Vancouver,Canada,BC Place,54500,6,2026-04-25,baseline,"https://www.booking.com/searchresults.html?ss=Vancouver, British Columbia&checkin=2026-04-25&checkout=2026-04-26&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price",[],,
Vancouver,Canada,BC Place,54500,6,2026-06-27,match,"https://www.booking.com/searchresults.html?ss=Vancouver, British Columbia&checkin=2026-06-27&checkout=2026-06-28&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price","[115.0, 115.0, 145.0, 145.0, 192.0, 192.0, 205.0, 205.0, 219.0, 219.0, 240.0, 240.0, 242.0, 242.0, 249.0, 249.0, 280.0, 280.0, 303.0, 303.0, 309.0, 309.0, 311.0, 311.0, 312.0]",242.0,
Vancouver,Canada,BC Place,54500,6,2026-05-02,baseline,"https://www.booking.com/searchresults.html?ss=Vancouver, British Columbia&checkin=2026-05-02&checkout=2026-05-03&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price",[],,
Mexico City,Mexico,Estadio Azteca,87523,3,2026-06-11,match,"https://www.booking.com/searchresults.html?ss=Mexico City, Mexico&checkin=2026-06-11&checkout=2026-06-12&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price","[12.0, 12.0, 25.0, 25.0, 33.0, 33.0, 34.0, 34.0, 38.0, 38.0, 39.0, 39.0, 40.0, 40.0, 43.0, 43.0, 44.0, 44.0, 44.0, 44.0, 44.0, 44.0, 45.0, 45.0, 46.0]",40.0,
Mexico City,Mexico,Estadio Azteca,87523,3,2026-04-16,baseline,"https://www.booking.com/searchresults.html?ss=Mexico City, Mexico&checkin=2026-04-16&checkout=2026-04-17&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price",[],,
Mexico City,Mexico,Estadio Azteca,87523,3,2026-06-17,match,"https://www.booking.com/searchresults.html?ss=Mexico City, Mexico&checkin=2026-06-17&checkout=2026-06-18&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price","[1.0, 1.0, 21.0, 21.0, 36.0, 36.0, 38.0, 38.0, 40.0, 40.0, 40.0, 40.0, 41.0, 41.0, 42.0, 42.0, 44.0, 44.0, 44.0, 44.0, 44.0, 44.0, 45.0, 45.0, 45.0]",41.0,
Mexico City,Mexico,Estadio Azteca,87523,3,2026-04-22,baseline,"https://www.booking.com/searchresults.html?ss=Mexico City, Mexico&checkin=2026-04-22&checkout=2026-04-23&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price",[],,
Mexico City,Mexico,Estadio Azteca,87523,3,2026-06-26,match,"https://www.booking.com/searchresults.html?ss=Mexico City, Mexico&checkin=2026-06-26&checkout=2026-06-27&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price","[25.0, 25.0, 28.0, 28.0, 34.0, 34.0, 36.0, 36.0, 39.0, 39.0, 40.0, 40.0, 43.0, 43.0, 43.0, 43.0, 44.0, 44.0, 44.0, 44.0, 44.0, 44.0, 45.0, 45.0, 45.0]",43.0,
Mexico City,Mexico,Estadio Azteca,87523,3,2026-05-01,baseline,"https://www.booking.com/searchresults.html?ss=Mexico City, Mexico&checkin=2026-05-01&checkout=2026-05-02&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price",[],,
